Rank,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
25,Jalen Johnson,ATL,24,62,36,26,35.3,22.9,8.5,17.2,49.3,1.6,4.6,35.0,4.3,5.5,78.0,1.5,9.0,10.5,8.1,3.4,1.3,0.5,2.1,49.6,42.0,13.0,2.1
26,Paolo Banchero,ORL,23,59,31,28,34.9,22.3,7.4,16.1,46.2,1.2,3.8,31.3,6.3,8.1,77.5,1.2,7.4,8.5,5.0,2.9,0.6,0.6,1.9,40.9,24.0,2.0,0.1
27,Norman Powell,MIA,32,52,27,25,30.1,22.3,7.5,15.8,47.3,2.7,7.1,38.4,4.7,5.7,82.3,0.4,3.2,3.6,2.6,2.0,1.2,0.3,2.2,32.8,1.0,0.0,2.1
28,Trey Murphy III,NOP,25,62,21,41,35.4,22.0,7.6,16.1,47.3,3.3,8.6,38.6,3.4,3.8,88.2,1.0,4.7,5.7,3.9,1.9,1.5,0.3,2.1,38.4,4.0,0.0,-2.1
29,Brandon Ingram,TOR,28,66,38,28,34.1,21.9,8.1,17.2,47.3,1.8,4.8,37.9,3.8,4.7,82.1,0.8,4.8,5.6,3.8,2.5,0.8,0.7,1.9,36.3,2.0,0.0,0.8
30,Tyler Herro,MIA,26,23,11,12,30.7,21.4,7.8,16.0,48.6,2.5,6.4,39.5,3.3,3.6,92.7,0.5,4.4,4.9,3.9,2.1,0.7,0.3,1.8,34.3,0.0,0.0,-0.9
31,Shaedon Sharpe,POR,22,48,22,26,30.0,21.4,8.0,17.6,45.6,2.1,6.2,34.0,3.2,4.0,78.4,1.0,3.4,4.4,2.6,3.0,1.4,0.1,2.0,32.2,0.0,0.0,-1.2
32,LeBron James,LAL,41,49,31,18,33.4,21.3,8.1,15.7,51.6,1.4,4.3,31.8,3.8,5.1,73.8,0.8,5.0,5.8,6.9,3.0,1.1,0.6,1.4,40.8,12.0,2.0,0.6
33,Franz Wagner,ORL,24,28,16,12,31.8,21.3,7.3,15.3,47.9,1.5,4.1,36.5,5.1,6.2,82.8,1.5,4.3,5.8,3.6,1.7,1.1,0.3,2.3,36.1,0.0,0.0,1.3
34,Zion Williamson,NOP,25,54,22,32,29.7,21.3,7.9,13.3,59.6,0.0,0.1,25.0,5.4,7.5,71.4,2.1,3.6,5.8,3.3,2.1,1.0,0.6,2.3,35.7,6.0,0.0,-0.9
